group_id,user_id,role,joined_at,messages_sent_30d,messages_read_30d,replies_sent_30d,notifications_dismissed_30d,group_muted_by_user
group_001,u_001,admin,2023-06-13,2,3,1,5,1
group_001,u_002,member,2023-09-20,4,4,1,3,0
group_001,u_003,member,2023-12-27,2,3,1,6,1
group_001,u_007,member,2023-03-07,2,2,0,9,1
group_001,u_011,member,2023-06-14,0,3,0,5,1
group_001,u_013,member,2023-09-21,10,10,3,0,0
group_001,u_017,member,2023-12-01,9,9,1,1,0
group_001,u_021,admin,2023-03-08,8,8,2,1,0
group_001,u_026,member,2023-06-15,21,21,5,3,0
group_001,u_031,member,2023-09-22,0,3,0,4,0
group_001,u_036,member,2023-12-02,9,9,2,4,0
group_001,u_039,member,2023-03-09,17,17,4,6,0
group_001,u_041,member,2023-06-13,8,16,1,1,0
group_001,u_042,member,2023-09-20,5,12,1,2,0
group_001,u_051,member,2023-12-27,9,9,2,5,1
group_008,u_004,admin,2023-08-18,16,16,3,3,0
group_008,u_005,member,2023-11-25,8,8,2,4,0
group_008,u_006,member,2023-02-05,7,7,0,5,0
group_008,u_008,member,2023-05-12,12,12,3,6,0
group_008,u_012,member,2023-08-19,0,3,0,0,0
group_008,u_015,member,2023-11-26,5,6,1,1,0
group_008,u_020,member,2023-02-06,8,8,1,2,0
group_008,u_024,member,2023-05-13,3,3,0,3,0
group_008,u_028,member,2023-08-20,15,18,2,4,0
group_008,u_033,member,2023-11-27,0,2,0,5,0
group_008,u_037,member,2023-02-07,11,11,5,6,0
group_008,u_041,member,2023-08-18,11,22,2,1,0
group_008,u_042,member,2023-11-25,8,18,1,2,0
group_008,u_051,member,2023-02-05,6,6,1,5,1
group_002,u_001,member,2024-10-23,3,3,0,2,0
group_002,u_002,member,2024-01-03,6,6,1,5,0
group_002,u_003,member,2024-04-10,18,18,4,4,0
group_002,u_005,member,2024-07-17,5,5,1,0,0
group_002,u_006,member,2024-10-24,2,3,0,1,0
group_002,u_007,member,2024-01-04,3,3,0,2,0
group_002,u_008,member,2024-04-11,20,20,5,3,0
group_002,u_009,member,2024-07-18,7,9,1,1,0
group_002,u_010,member,2024-10-25,0,1,0,5,0
group_002,u_011,admin,2023-01-05,12,12,6,2,0
group_002,u_014,member,2024-04-12,5,5,1,0,0
group_002,u_017,member,2024-07-19,18,18,5,1,0
group_002,u_018,member,2024-10-26,24,24,5,2,0
group_002,u_019,member,2024-01-06,8,8,1,3,0
group_002,u_021,member,2024-04-13,10,10,2,2,0
group_002,u_022,admin,2023-07-20,7,7,2,2,0
group_002,u_025,member,2024-10-27,4,5,0,6,0
group_002,u_027,member,2024-01-07,0,1,0,0,0
group_002,u_030,member,2024-04-14,6,6,1,1,0
group_002,u_032,member,2024-07-21,10,10,3,1,0
group_002,u_035,member,2024-10-01,9,9,2,3,0
group_002,u_036,member,2024-01-08,9,9,3,3,0
group_002,u_038,member,2024-04-15,7,7,1,5,0
group_002,u_040,member,2024-07-22,0,0,0,6,0
group_002,u_043,admin,2023-10-23,21,21,6,1,0
group_002,u_044,member,2024-01-03,6,14,1,2,0
group_002,u_053,admin,2023-04-10,22,22,6,3,0
group_003,u_002,member,2025-12-01,11,11,2,5,0
group_003,u_006,admin,2024-03-08,12,27,12,2,0
group_003,u_010,member,2025-06-15,8,8,1,0,0
group_003,u_013,member,2025-09-22,6,6,2,1,0
group_003,u_016,member,2025-12-02,13,13,3,2,0
group_003,u_019,member,2025-03-09,6,6,1,3,0
group_003,u_023,admin,2024-06-16,26,53,5,4,0
group_003,u_026,member,2025-09-23,24,24,7,5,0
group_003,u_029,member,2025-12-03,0,3,0,6,0
group_003,u_031,member,2025-03-10,12,12,3,0,0
group_003,u_034,member,2025-06-17,4,10,0,1,0
group_003,u_037,member,2025-09-24,6,6,3,2,0
group_003,u_045,admin,2024-12-01,30,49,6,1,0
group_004,u_003,member,2025-02-06,2,2,0,4,0
group_004,u_004,admin,2024-05-13,10,10,2,0,0
group_004,u_010,member,2025-08-20,8,8,2,1,0
group_004,u_014,member,2025-11-27,12,12,3,2,0
group_004,u_016,admin,2024-02-07,10,10,2,3,0
group_004,u_018,member,2025-05-14,2,4,0,4,0
group_004,u_022,member,2025-08-21,6,6,1,2,0
group_004,u_025,member,2025-11-01,18,18,5,6,0
group_004,u_030,member,2025-02-08,4,4,1,0,0
group_004,u_035,member,2025-05-15,9,9,3,1,0
group_004,u_040,member,2025-08-22,5,5,1,2,0
group_004,u_046,admin,2024-02-06,20,20,6,1,0
group_005,u_001,member,2026-04-11,5,5,0,0,0
group_005,u_002,member,2026-07-18,15,15,4,1,0
group_005,u_004,admin,2025-10-25,15,15,3,2,0
group_005,u_005,member,2026-01-05,12,12,3,3,0
group_005,u_007,member,2026-04-12,0,3,0,4,0
group_005,u_008,member,2026-07-19,15,15,4,5,0
group_005,u_009,member,2026-02-26,22,22,4,2,0
group_005,u_012,member,2026-01-06,11,11,2,0,0
group_005,u_013,member,2026-04-13,11,11,3,1,0
group_005,u_015,member,2026-07-20,0,4,0,2,0
group_005,u_016,member,2026-02-27,8,8,2,3,0
group_005,u_018,member,2026-01-07,8,8,2,4,0
group_005,u_020,member,2026-04-14,5,5,1,5,0
group_005,u_021,member,2026-07-21,7,7,1,2,0
group_005,u_023,member,2026-02-01,0,5,0,0,0
group_005,u_024,member,2026-01-08,8,8,2,1,0
group_005,u_027,member,2026-04-15,1,1,0,9,1
group_005,u_028,member,2026-07-22,5,6,1,3,0
group_005,u_029,member,2026-02-02,20,20,4,4,0
group_005,u_032,member,2026-01-09,0,0,0,3,0
group_005,u_033,member,2026-04-16,2,2,0,9,1
group_005,u_034,member,2026-07-23,14,35,3,0,0
group_005,u_036,member,2026-02-03,9,9,2,1,0
group_005,u_038,member,2026-01-10,2,2,1,2,0
group_005,u_039,member,2026-04-17,0,5,0,3,0
group_005,u_040,member,2026-07-24,1,1,0,9,1
group_005,u_048,member,2026-04-11,14,22,2,1,0
group_005,u_052,member,2026-07-18,13,16,2,2,1
group_005,u_049,member,2026-02-25,13,17,2,3,0
group_005,u_050,member,2026-01-05,7,15,1,0,0
group_006,u_004,member,2024-06-16,4,4,0,1,0
group_006,u_008,admin,2023-09-23,16,16,5,2,0
group_006,u_010,member,2024-12-03,6,6,1,3,0
group_006,u_012,member,2024-03-10,3,3,1,4,0
group_006,u_015,member,2024-06-17,0,0,0,5,0
group_006,u_016,member,2024-09-24,6,6,1,6,0
group_006,u_020,member,2024-12-04,8,8,2,0,0
group_006,u_023,member,2024-03-11,2,9,0,1,0
group_006,u_025,member,2024-06-18,10,10,2,2,0
group_006,u_028,member,2024-09-25,0,7,0,3,0
group_006,u_030,member,2024-12-05,6,6,1,4,0
group_006,u_034,member,2024-03-12,5,14,1,5,0
group_006,u_037,member,2024-06-19,5,5,1,6,0
group_006,u_039,member,2024-09-26,4,5,1,0,0
group_006,u_054,member,2024-06-16,1,2,0,1,0
group_006,u_051,member,2024-09-23,1,2,0,5,1
group_007,u_003,member,2025-08-21,6,6,0,2,0
group_007,u_007,member,2025-11-01,5,5,1,3,0
group_007,u_008,member,2025-02-08,9,9,1,4,0
group_007,u_012,admin,2024-05-15,15,15,6,2,0
group_007,u_015,member,2025-08-22,16,16,3,6,0
group_007,u_018,member,2025-11-02,3,5,0,0,0
group_007,u_021,member,2025-02-09,10,10,3,1,0
group_007,u_024,member,2025-05-16,15,15,5,2,0
group_007,u_027,member,2025-08-23,7,7,1,3,0
group_007,u_032,member,2025-11-03,3,3,1,2,0
group_007,u_035,member,2025-02-10,6,6,1,5,0
group_007,u_038,member,2025-05-17,3,3,1,6,0
group_007,u_040,member,2025-08-24,2,2,0,0,0
group_007,u_054,member,2025-08-21,0,1,0,1,0
group_007,u_052,member,2025-11-01,13,15,2,1,1
group_009,u_009,member,2023-10-26,13,13,2,1,0
group_009,u_010,admin,2023-01-06,6,6,1,4,0
group_009,u_014,member,2023-04-13,3,3,0,5,0
group_009,u_016,member,2023-07-20,12,12,3,6,0
group_009,u_018,member,2023-10-27,0,1,0,0,0
group_009,u_022,member,2023-01-07,8,8,2,0,0
group_009,u_025,member,2023-04-14,11,11,2,2,0
group_009,u_030,member,2023-07-21,2,2,0,3,0
group_009,u_035,member,2023-10-01,13,13,3,4,0
group_009,u_040,member,2023-01-08,0,1,0,5,0
group_009,u_041,member,2023-10-26,8,16,1,1,0
group_009,u_042,member,2023-01-06,11,24,2,2,0
group_009,u_051,member,2023-04-13,7,7,1,5,1
group_010,u_002,member,2024-12-04,9,9,2,4,0
group_010,u_004,member,2024-03-11,6,6,1,5,0
group_010,u_007,member,2024-06-18,4,4,0,6,0
group_010,u_008,member,2024-09-25,10,10,3,0,0
group_010,u_010,member,2024-12-05,4,4,0,1,0
group_010,u_012,member,2024-03-12,6,6,1,2,0
group_010,u_013,member,2024-06-19,4,4,0,3,0
group_010,u_015,member,2024-09-26,1,3,0,4,0
group_010,u_019,member,2024-12-06,0,2,0,5,0
group_010,u_020,admin,2023-03-13,10,10,2,6,0
group_010,u_023,member,2024-06-20,3,7,0,0,0
group_010,u_024,member,2024-09-27,4,4,1,1,0
group_010,u_026,member,2024-12-07,11,11,2,2,0
group_010,u_028,member,2024-03-14,2,4,0,3,0
group_010,u_029,member,2024-06-21,14,15,2,4,0
group_010,u_031,member,2024-09-01,23,23,6,5,0
group_010,u_033,member,2024-12-08,13,13,2,6,0
group_010,u_034,member,2024-03-15,0,17,0,0,0
group_010,u_037,member,2024-06-22,9,9,4,1,0
group_010,u_039,member,2024-09-02,5,5,1,2,0
group_010,u_043,admin,2023-12-04,21,21,6,1,0
group_010,u_044,member,2024-03-11,0,2,0,2,0
group_010,u_053,admin,2023-06-18,22,22,6,3,0
group_010,u_047,member,2024-09-25,11,26,2,0,0
group_011,u_001,member,2024-02-09,1,1,0,2,0
group_011,u_006,member,2024-05-16,15,15,3,6,0
group_011,u_011,member,2024-08-23,12,12,6,0,0
group_011,u_014,member,2024-11-03,10,10,3,1,0
group_011,u_017,admin,2023-02-10,8,8,1,2,0
group_011,u_022,member,2024-05-17,7,7,2,1,0
group_011,u_025,member,2024-08-24,16,16,4,4,0
group_011,u_027,member,2024-11-04,4,4,1,5,0
group_011,u_030,member,2024-02-11,0,2,0,6,0
group_011,u_032,member,2024-05-18,7,7,2,0,0
group_011,u_035,member,2024-08-25,15,15,3,1,0
group_011,u_036,member,2024-11-05,10,10,3,2,0
group_011,u_038,member,2024-02-12,3,3,0,3,0
group_011,u_040,member,2024-05-19,1,1,0,4,0
group_011,u_043,admin,2023-02-09,21,21,5,1,0
group_011,u_044,member,2024-05-16,2,6,0,2,0
group_011,u_051,member,2024-08-23,11,11,2,4,1
group_011,u_053,admin,2023-11-03,23,23,6,0,0
group_012,u_001,member,2025-04-14,3,3,0,3,0
group_012,u_005,member,2025-07-21,5,5,1,0,0
group_012,u_009,member,2025-10-01,4,4,0,0,0
group_012,u_012,admin,2024-01-08,5,5,1,2,0
group_012,u_016,member,2025-04-15,15,15,7,2,0
group_012,u_017,member,2025-07-22,13,13,3,4,0
group_012,u_020,member,2025-10-02,8,8,1,5,0
group_012,u_022,member,2025-01-09,9,9,3,2,0
group_012,u_024,member,2025-04-16,0,3,0,0,0
group_012,u_027,member,2025-07-23,1,1,0,1,0
group_012,u_030,member,2025-10-03,7,7,2,2,0
group_012,u_032,member,2025-01-10,14,14,4,2,0
group_012,u_035,member,2025-04-17,5,5,0,4,0
group_012,u_038,member,2025-07-24,5,5,1,5,0
group_012,u_045,admin,2024-04-14,30,48,6,1,0
group_012,u_051,member,2025-07-21,5,5,1,4,1
group_012,u_048,member,2025-10-01,2,5,0,3,0
group_013,u_002,member,2025-06-19,7,7,1,0,0
group_013,u_005,member,2025-09-26,6,6,2,1,0
group_013,u_009,member,2025-12-06,4,4,0,1,0
group_013,u_011,member,2025-03-13,9,9,2,2,0
group_013,u_013,admin,2024-06-20,9,9,2,3,0
group_013,u_019,member,2025-09-27,8,8,1,5,0
group_013,u_021,member,2025-12-07,2,2,0,2,0
group_013,u_024,member,2025-03-14,8,8,2,0,0
group_013,u_027,member,2025-06-21,7,7,1,1,0
group_013,u_032,member,2025-09-01,11,11,3,1,0
group_013,u_036,member,2025-12-08,9,9,2,3,0
group_013,u_046,admin,2024-06-19,20,20,6,1,0
group_013,u_054,member,2025-09-26,8,15,1,2,0
group_014,u_003,member,2026-08-24,8,8,1,1,0
group_014,u_006,member,2026-03-04,6,6,1,2,0
group_014,u_010,member,2026-02-11,6,6,1,3,0
group_014,u_011,member,2026-05-18,12,12,3,3,0
