message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,A verified business sent a time-sensitive update that matches the user's relationship.,0.89,message_0243;message_0102
msg_091,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0238;message_0381
msg_090,digest,personal,This direct message is safe but does not need to interrupt the user now.,0.79,none
msg_048,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0151;message_0237
msg_040,mute,greeting,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0136;message_0135
msg_075,notify,business_update,A verified business sent a time-sensitive update that matches the user's relationship.,0.89,message_0206;message_0205
msg_005,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0065;message_0049
msg_104,notify,urgent,A direct message needs a timely response or action from the user.,0.86,message_0050;message_0224
msg_069,mute,greeting,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0193;message_0177
msg_107,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0369;message_0235
msg_070,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0369;message_0213
msg_003,notify,business_update,A verified business sent a time-sensitive update that matches the user's relationship.,0.89,message_0400;message_0031
msg_099,digest,personal,This direct message is safe but does not need to interrupt the user now.,0.79,message_0227;message_0362
msg_008,digest,unknown,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0296;message_0072
msg_092,digest,payment,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0346;message_0344
msg_060,notify,event,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0284;message_0176
msg_004,notify,business_update,A verified business sent a time-sensitive update that matches the user's relationship.,0.89,message_0245;message_0005
msg_030,mute,promotion,This is promotional content that the user has opted out of or tends to dismiss.,0.87,message_0115;message_0335
msg_045,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0146;message_0145
msg_052,mute,scam,An unverified business sender requests a financial or account-security action.,0.91,message_0207;message_0208
msg_009,digest,unknown,Useful group information can wait because this group is muted by the user.,0.76,message_0074;message_0073
msg_071,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0197;message_0198
msg_016,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0024;message_0202
msg_065,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0261;message_0260
msg_038,mute,forward,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0132;message_0131
msg_086,digest,unknown,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0222
msg_014,digest,business_update,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0258;message_0018
msg_094,digest,promotion,This is a legitimate low-priority offer that can be reviewed later.,0.80,message_0356
msg_029,mute,promotion,This is promotional content that the user has opted out of or tends to dismiss.,0.87,message_0113;message_0332
msg_105,mute,forward,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0373;message_0233
msg_002,notify,payment,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0003;message_0266
msg_010,digest,unknown,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0242;message_0011
msg_078,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0211;message_0212
msg_013,digest,promotion,This is a legitimate low-priority offer that can be reviewed later.,0.80,message_0082;message_0081
msg_018,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0091;message_0026
msg_044,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0143;message_0144
msg_032,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0119;message_0285
msg_106,notify,urgent,A direct message needs a timely response or action from the user.,0.86,message_0376;message_0234
msg_006,notify,urgent,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0044;message_0029
msg_109,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0151;message_0237
msg_108,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0094;message_0093
msg_019,mute,scam,An unverified business sender requests a financial or account-security action.,0.91,message_0277;message_0276
msg_088,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0335;message_0224
msg_056,notify,event,A trusted group message contains a time-sensitive update or direct request.,0.87,message_0168;message_0167
msg_027,digest,unknown,This verified business update is legitimate but does not require an immediate interruption.,0.79,message_0272;message_0033
msg_050,mute,spam,The business sender cannot be verified as a trusted source.,0.84,message_0279;message_0278
msg_083,digest,unknown,This is safe group information that can be reviewed in a later digest.,0.79,message_0219
msg_063,mute,scam,"The message requests sensitive credentials or payment through an unsafe, high-pressure flow.",0.96,message_0182;message_0181
msg_033,mute,greeting,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0121;message_0122
msg_061,mute,greeting,This is a repetitive forwarded chain or unsupported tip with no actionable value.,0.90,message_0193;message_0177
