message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,forwarded_count,action,message_type,reason,confidence,evidence_message_ids
sample_msg_001,u_011,group,group_002,,u_043,2026-08-25 11:09,"Tower B folks - tanker guy says he can wait only 20 mins. Motor room valve is still open, so pls fill drinking water now if your flat missed morning supply. Will update after 6.",0,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
sample_msg_002,u_006,group,group_003,,u_045,2026-08-25 14:16,"Route B parents: bus is leaving 15 mins early today because stadium road is blocked. Pls keep kids down by 7:35, driver said he can't wait at each stop.",0,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0002
sample_msg_003,u_010,group,group_004,,u_046,2026-08-25 17:22,@u_010 prod review got pulled to 3. Can you join with the queue numbers + failed payment screenshots? Need to close the client note before EOD.,0,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0003
sample_msg_004,u_001,business,,business_001,,2026-08-25 08:28,"Hi Customer,

Your order ending 4821 has been packed and is expected to reach the local hub today.

You can check delivery details and delivery-code instructions in your Amazon app.

Team Amazon",0,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0004
sample_msg_005,u_003,business,,business_004,,2026-08-25 11:35,"Dear Customer,

Your health-related update is ready for review.

Please check appointment, prescription, claim, or pickup details in the registered app before the scheduled time.

Team Care Services",0,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0005
sample_msg_006,u_004,group,group_006,,u_054,2026-08-25 14:41,"@u_004 when you get 5 mins can you call? Small thing, just checking if Sunday pickup still works for you.",0,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0006
sample_msg_007,u_012,business,,business_092,,2026-08-25 17:47,"When did a trip last change something about how you see yourself?

Ladakh is built for that. 7 nights, all in, from Rs 17,999 per person.

Tap below to view the itinerary.

Reply STOP to unsubscribe from marketing messages.",0,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0007
sample_msg_008,u_015,group,group_010,,u_043,2026-08-25 08:53,"Cultural night form is open till next Sunday. Add flat no + item/dish in the sheet when free, no need to reply here.",0,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.84,message_0008
sample_msg_009,u_035,group,group_009,,u_042,2026-08-25 11:58,Good morning everyone :) group was quiet so just saying hope today is peaceful.,0,digest,greeting,The message is a harmless greeting that can be read later.,0.82,message_0009
sample_msg_010,u_026,group,group_015,,u_054,2026-08-25 14:04,"Anyone watching the match tonight? I'll start the score thread after dinner, join if you're around.",0,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0010
sample_msg_011,u_002,business,,business_096,,2026-08-25 17:09,"Thank you for choosing PVR Cinemas,

We would love to hear about your experience with us.

Please click the link to give your valuable feedback.",0,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0011
sample_msg_012,u_026,group,group_014,,u_048,2026-08-25 08:16,"Selling cycle helmet, medium size. Bought last year, no crash damage. Pickup near main gate this weekend, DM if interested.",0,digest,promotion,"The offer is potentially relevant, but it does not need immediate attention.",0.84,message_0012
sample_msg_013,u_001,group,group_001,,u_051,2026-08-25 11:22,"Good morning all. Stay positive, keep smiling, share blessings with everyone you care about.",6,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0013;message_0014
sample_msg_014,u_006,group,group_008,,u_051,2026-08-25 14:28,"Sharing this here: drink warm water every hour and avoid cold food. Very useful, share in all groups.",11,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0015;message_0016
sample_msg_015,u_007,business,,business_094,,2026-08-25 17:35,"New here? 50% Off Won't Wait!

Welcome! Get 50% off with TRY50.

But hurry, it might expire soon.

Ready to place your first order? Use it now!

T&C apply. Reply STOP to unsubscribe",3,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0017;message_0018
sample_msg_016,u_005,group,group_012,,u_048,2026-08-25 08:41,"Imported recliner sofa available today only. Buyer cancelled last minute. Warehouse pickup, cash/UPI, message fast.",0,mute,promotion,The offer is unrelated to the user's current context and is likely marketplace noise.,0.87,message_0019
sample_msg_017,u_011,group,group_016,,u_051,2026-08-25 11:47,this one habit changed thousands of lives. Read fully and send to 10 people before tonight.,12,mute,forward,The message is heavily forwarded and has low personal or practical value for this user.,0.85,message_0020
sample_msg_018,u_012,business,group_005,business_098,u_052,2026-08-25 14:53,"Review in Progress

Dear User,

Your approved application of INR 200000 has moved into the final stage.

Tap below for current status.

Ref ID-532311946

Reply STOP to unsubscribe",0,mute,promotion,The sender repeatedly sends similar promotions with low engagement from the user.,0.83,message_0021;message_0022
sample_msg_019,u_009,group,group_005,,u_049,2026-08-25 17:58,Security alert: OTP may have leaked. Verify now at account-login.in or profile may be temporarily blocked.,0,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.81,message_0023
sample_msg_020,u_005,group,group_005,,u_050,2026-08-25 08:04,Support alert: profile will be blocked in 2 hours. Confirm password and OTP now to keep access active.,0,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0024
sample_msg_021,u_033,group,group_005,,u_049,2026-08-25 11:09,Pending service charge detected. Pay through this link in next 30 mins or access may stop today.,0,mute,scam,An unknown or untrusted sender is asking for urgent payment.,0.85,message_0025
sample_msg_022,u_002,group,group_005,,u_050,2026-08-25 14:16,"Congrats, your number got selected for a reward. Claim at lucky-draw-result.in before midnight.",5,mute,scam,The message uses prize or reward language with suspicious claim behavior.,0.83,message_0026
sample_msg_023,u_010,business,group_005,business_099,u_049,2026-08-25 17:22,"Hi,

You may have interacted with this program through one of our events, hiring conversations, partnerships, or other initiatives.

We're conducting a short 3-minute survey or session update to better understand what today's tech industry expects.

Here's the link shared in this chat. We'd really appreciate it if you could take a few minutes.",0,mute,spam,The message pushes the user toward an unexplained short or suspicious link.,0.81,message_0027
sample_msg_024,u_001,business,,business_036,,2026-08-25 08:28,"Delivery attempt could not be completed.

A reattempt charge is pending for your parcel. Please complete verification at amazonpay-delivery.in before the package is returned tonight.

Tap below to continue.

Reply STOP to opt out.",0,mute,scam,An unverified business account is sending an account or delivery alert that looks risky.,0.87,message_0028
sample_msg_025,u_011,group,group_002,,u_043,2026-08-25 11:35,"August maintenance pending. Pls pay by 5 PM in society app or office QR only. If paid already ignore, receipts will be matched tonight.",0,notify,payment,A trusted admin sent a payment reminder through the normal group context.,0.89,message_0029
