message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,forwarded_count
message_0314,u_037,business,,business_109,,2026-07-31 17:24,"Dear Customer,

Your booking or reservation update is now available.

Please review timings, guest details, and any change options in the app.

Tap below to view details.",0
message_0254,u_017,business,,business_095,,2026-05-01 17:24,"Hi,

You may have interacted with this program through one of our events, hiring conversations, partnerships, or other initiatives.

We're conducting a short 3-minute survey or session update to better understand what today's tech industry expects.

Here's the link shared in this chat. We'd really appreciate it if you could take a few minutes.",0
message_0352,u_036,direct,,,u_049,2026-04-26 12:12,Pending traffic challan final warning. Pay through this personal QR in 10 minutes to avoid court notice.,0
message_0136,u_005,group,group_005,,u_050,2026-06-13 12:39,"This came with bank logo but URL is hsbc-alerts.net, not real bank site. Asks username and OTP on same page.",0
message_0217,u_004,group,group_006,,u_054,2026-08-15 12:46,Anyone up for board games tonight? I'll book the cafe table only if at least four people say yes.,0
message_0107,u_004,group,group_004,,u_046,2026-05-25 17:46,"Gate 2 closing 6:30 for repair truck. Cars on ramp need to move before then, security started calling flats.",0
message_0034,u_007,business,,business_092,,2026-05-09 12:24,"The mountains are calling again.

A saved travel deal is available for a limited time.

Check current fares, stays, and package details in the app.

Reply STOP to unsubscribe from marketing messages.",0
message_0338,u_010,direct,,,u_046,2026-08-02 17:52,Production rollback is approved. Please stay online for the next 30 minutes while we drain the queue.,0
message_0142,u_018,business,,business_036,,2026-08-12 12:12,"Delivery attempt could not be completed.

A reattempt charge is pending for your parcel. Please complete verification at amazonpay-delivery.in before the package is returned tonight.

Tap below to continue.

Reply STOP to opt out.",0
message_0313,u_036,business,,business_103,,2026-07-21 12:17,"Hello Customer,

Your vehicle service pickup has been scheduled.

Please keep the keys and service notes ready for the pickup partner.

Tap below to view booking details.",0
message_0224,u_007,business,,business_003,,2026-04-02 17:24,"Reminder: your account has a shopping offer available.

Selected products and saved items may have extra discounts today.

Tap below to view current balance or offer details.

Reply STOP to unsubscribe",0
message_0312,u_036,business,,business_102,,2026-07-11 07:12,"Hello Customer,

Please verify insurance status for vehicle KA03NQ9275.

Complete the renewal process to avoid any interruption in coverage.

Kindly ignore the message if you have already renewed.",0
message_0025,u_033,group,group_005,,u_049,2026-03-13 12:31,Pending charge found. Pay now through link or service may stop today.,0
message_0256,u_017,group,group_020,,u_043,2026-05-21 12:39,Fire alarm test tomorrow 9 AM to 11 AM. Elevators may pause briefly during each floor check.,0
message_0279,u_025,business,,business_027,,2026-05-13 07:57,"You just dropped something...

A membership, event, or entertainment update is available for your account.

Unlock benefits, watchlist updates, or booking details from the app whenever convenient.

Reply STOP to unsubscribe",0
message_0065,u_002,group,group_002,,u_043,2026-07-20 17:31,"Potluck sheet open for Sunday. Add flat no + dish by weekend, no need to reply here.",0
message_0344,u_019,direct,,,u_054,2026-03-10 17:24,"Sending rehearsal photos here. Download later, I won't delete today.",0
message_0129,u_001,group,group_002,,u_043,2026-05-07 07:57,"Gate 2 closing 6:30 for repair truck. Cars on ramp need to move before then, security started calling flats.",0
message_0105,u_033,group,group_005,,u_048,2026-05-05 07:31,Imported recliner discount today only. u_033 has muted marketplace seller posts after repeated irrelevant listings.,0
message_0184,u_009,group,group_005,,u_050,2026-06-17 12:24,"This came with bank logo but URL is hsbc-alerts.net, not real bank site. Asks username and OTP on same page.",0
message_0165,u_016,group,group_012,,u_045,2026-07-02 07:31,Forwarded scholarship link in student group asked for bank details before showing eligibility; several students reported it.,12
message_0006,u_004,group,group_006,,u_054,2026-04-30 07:39,"@u_004 are you coming today? If yes I'll keep one cab seat. If not, tell before 5 because booking final.",0
message_0078,u_027,group,group_002,,u_043,2026-04-03 07:52,Admin note: Aug maintenance still pending for 18 flats. Pay only in society app or office QR near reception. Don't use links posted by residents.,0
message_0041,u_010,group,group_004,,u_046,2026-07-18 17:08,@u_010 file upload done? Waiting before I send final status to client.,0
message_0153,u_012,group,group_005,,u_050,2026-05-09 07:17,ALERT: OTP for your account exposed. Secure profile now: account-login.in. Service may block if not verified today.,0
message_0229,u_008,business,,business_001,,2026-05-22 12:57,"Hi Customer,

Your return pickup is scheduled between 2 PM and 5 PM today.

Please keep the item packed with all accessories. You can track the pickup status in your Amazon app.

Team Amazon",0
message_0003,u_010,group,group_004,,u_046,2026-03-31 07:17,@u_010 can you join 4 PM prod review? Need failed-payment count + retry backlog before client mail.,0
message_0259,u_018,group,group_018,,u_054,2026-06-20 12:57,Spain vs Argentina final watch party? I can book the table if five people confirm.,2
message_0301,u_032,group,group_022,,u_052,2026-04-25 12:08,"Plots near expressway, 20 percent assured appreciation in 3 months. Token link closes tonight.",3
